Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041757
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
Andorra,AND,"Population, total",SP.POP.TOTL,77146
Angola,AGO,"Population, total",SP.POP.TOTL,31825299
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97115
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,"Population, total",SP.POP.TOTL,2957728
Aruba,ABW,"Population, total",SP.POP.TOTL,106310
Australia,AUS,"Population, total",SP.POP.TOTL,25365745
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389486
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641164
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046173
Barbados,BRB,"Population, total",SP.POP.TOTL,287021
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Belize,BLZ,"Population, total",SP.POP.TOTL,390351
Benin,BEN,"Population, total",SP.POP.TOTL,11801151
Bermuda,BMU,"Population, total",SP.POP.TOTL,63913
Bhutan,BTN,"Population, total",SP.POP.TOTL,763094
Bolivia,BOL,"Population, total",SP.POP.TOTL,11513102
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3300998
Botswana,BWA,"Population, total",SP.POP.TOTL,2303703
Brazil,BRA,"Population, total",SP.POP.TOTL,211049519
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30033
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,433296
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20321383
