Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.615794214
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041757
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.20263062
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.552777882
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..
Andorra,AND,"Population, total",SP.POP.TOTL,77146
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.19934175
Angola,AGO,"Population, total",SP.POP.TOTL,31825299
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,9.054964064
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97115
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.24310827
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.48366772
Armenia,ARM,"Population, total",SP.POP.TOTL,2957728
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.05835544
Aruba,ABW,"Population, total",SP.POP.TOTL,106310
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.92120175
Australia,AUS,"Population, total",SP.POP.TOTL,25365745
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.07560629
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.44638912
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.483272654
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389486
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.518809729
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641164
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.180351348
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046173
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.23099033
Barbados,BRB,"Population, total",SP.POP.TOTL,287021
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.20084135
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.00656607
